read,length,D1,D2,bin_id
9fd9e8bc-b70b-49c2-9184-b31aadface5e,1523,6.0515323,3.5874622,0
b5e5f8f0-73fe-49b1-ada8-90ea953b3768,1491,1.2544267,5.014766,1
683e24cb-28c7-4bdb-a9cc-6ba6faa1a399,1459,6.4050527,3.785376,0
c787a3be-0673-47c0-94cb-e8e7d29b0ce5,1469,6.073136,5.7838874,0
37a80cd8-1691-4cac-875a-3f4aa847ebeb,1462,2.2992651,5.3939433,1
698369ea-3b38-4969-bd27-6d6a8cd141f4,1480,5.597754,4.7127156,0
58ca2584-c59e-4798-84e4-4b7904cfdde5,1420,2.822268,6.1285453,1
ac7bab18-b9df-4f3e-bb14-a889ff06aa39,1515,6.818155,5.311709,0
34eaabb5-2aa4-447f-9014-fdaf88abce79,1483,5.9697475,5.372375,0
941a8034-c6e5-4af1-80be-20032efce59d,1502,2.291123,5.109322,1
bc771522-7d95-4202-9117-76a1be5e5531,1452,1.9851663,5.055288,1
a3321a9b-6ef7-4de3-a0f0-d8004783ba6a,1482,6.7914996,4.938583,0
58e714c0-4a11-4629-8886-b11d982fc10c,1484,6.550166,3.653272,0
546f92fc-68c1-44d0-9560-72f156d85863,1497,1.5616685,7.4259686,1
62ee505c-bb55-473b-8f46-408ab7eb82cf,1480,6.0220547,4.765823,0
52bc1db2-7712-47eb-8e79-f6179c69a4f7,1435,6.356834,5.507791,0
62712889-e3a7-4567-8547-5a9e93d2592a,1497,5.1006813,4.445339,0
41dc8021-4b9f-46ee-a618-da355751066f,1486,1.5244017,7.2308173,1
4116bc02-68c3-44c0-acf0-0762b42f471a,1512,6.0304446,3.9977865,0
f48a3a8d-187a-4ee8-9f61-1f3c6593ac14,1473,6.8973174,4.7543216,0
17e21b3b-8bc8-454d-9d84-95a7cadc1f82,1476,7.8033338,4.611365,0
f8d802f4-98f1-47ca-8d67-20bc1627f361,1452,0.9041793,5.0137496,1
841666e4-c982-4726-8f78-bb82df87a818,1490,7.2992764,5.4225507,0
d602282b-5e17-4142-88c7-37805c86fbfd,1502,6.488892,3.5580199,0
5526eadb-905d-469e-b2ab-073a63b36298,1479,6.9290047,4.9255247,0
8bc90c32-77f6-4216-b949-3a61107d5e9c,1482,2.954112,5.4015903,1
094a7f81-1a07-4a52-be64-299467e073ca,1474,5.0822644,6.1598563,0
73302352-e596-4e62-8066-ca781c4cc8c1,1468,3.3973637,6.1764126,1
391a0c44-ff7a-4abb-af9f-f0e12c862b0d,1511,5.5793266,4.730765,0
dfee1a17-af8a-4337-a611-506668952feb,1489,1.972605,5.3973346,1
48a6f324-9ba6-49fb-94b6-7c5d597bedd6,1518,6.0004864,6.027626,0
